
Exhibit 4. Exports, Imports, and Trade Balance of Goods by Country and Area, Not Seasonally Adjusted: 2018

(X) Not applicable. (-) Represents zero or less than one-half unit of measurement shown.

                                                                                                    111111111111111111111111
         1111111111222222222233333333334444444444555555555566666666667777777777888888888999999999990000000000111111111122222
1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234

                                                                                      Exports
                                            Balance                                 Domestic & Foreign,
                                          (Customs imports)                         F.A.S. basis   
Country                                   February      Year-to-Date  Rank          February      Year-to-Date  Rank
Mexico**                                      26,288.0      52,226.4             2      26,549.9      52,751.9             2
Micronesia                                         0.1           0.2           210           0.1           0.2           210
Moldova                                            3.1           9.3           137           3.2          10.0           136
Monaco                                             2.3           4.6           148           2.3           4.7           148
Mongolia                                           1.0           1.6           168           1.0           1.6           169
Montenegro                                         0.4           0.6           188           0.4           0.7           190
Montserrat                                         (-)           0.6           190           0.1           0.7           189
Morocco*                                         127.9         276.4            68         133.1         289.1            67
Mozambique                                         6.9          19.3           118           7.2          19.8           119

Namibia                                            6.0          12.0           132           6.0          12.1           132
Nauru                                              (-)           0.3           203           (-)           0.3           203
Nepal                                              8.1          15.9           125           8.6          16.9           124
Netherlands                                    1,570.0       3,196.3            21       1,621.7       3,299.1            21
New Caledonia                                      4.8          12.4           129           5.1          13.1           128
New Zealand                                      335.6         686.2            52         349.6         715.2            53
Nicaragua**                                      304.3         560.9            58         312.0         575.2            58
Niger                                              0.5           1.3           173           0.6           1.4           173
Nigeria                                          652.8       1,436.7            36         671.4       1,477.3            36
Niue                                               0.1           0.1           220           0.1           0.1           220
Norfolk Island                                     0.1           0.1           219           0.1           0.1           219
Norway                                           407.6         835.2            44         427.6         878.2            44

Oman*                                             95.6         181.8            75         101.2         191.6            75

Pakistan                                         270.1         586.2            57         283.9         615.5            57
Palau                                              (-)           0.1           215           (-)           0.1           212
Panama*                                           31.2          61.8            96          32.3          64.2            96
Papua New Guinea                                   4.5          10.4           135           4.6          10.8           135
Paraguay                                           7.4          16.1           124           7.8          16.8           125
Peru*                                            647.3       1,528.4            34         679.6       1,615.6            34
Philippines                                      930.3       1,924.0            29         956.4       1,977.8            29
Pitcairn Islands                                   (-)           (-)           232           (-)           (-)           232
Poland                                           580.9       1,206.5            38         599.1       1,243.2            38
Portugal                                         251.1         552.8            59         260.9         574.2            59

Qatar                                            127.0         269.6            69         130.5         278.8            69

Reunion                                            1.7           3.5           153           1.8           3.6           154
Romania                                          194.4         399.6            62         200.9         413.4            62
Russia                                         1,259.3       2,814.5            23       1,304.7       2,923.8            23
Rwanda                                             6.0          13.4           126           6.2          13.6           126

Samoa                                              0.5           0.8           183           0.5           0.8           182
San Marino                                         0.8           1.8           167           0.8           2.0           166
Sao Tome and Principe                              (-)           0.1           216           (-)           0.1           216
Saudi Arabia                                   1,290.8       2,776.4            24       1,322.8       2,847.4            24
Senegal                                           17.8          24.2           115          18.3          24.9           114
Serbia                                            28.2          54.4           100          29.3          56.7           100
Seychelles                                         0.4           0.9           180           0.4           1.0           180
Sierra Leone                                       4.1           7.7           142           4.2           7.8           142
Singapore*                                     1,711.8       3,507.6            19       1,729.6       3,548.3            19
Sint Maarten                                       8.3          18.8           119           8.3          18.9           122
Slovakia                                         150.5         353.2            64         153.5         358.9            64
Slovenia                                          58.3         120.3            83          60.4         124.5            83
Solomon Islands                                    0.2           0.7           187           0.2           0.7           186
Somalia                                            0.3           0.4           199           0.3           0.4           202
South Africa                                     527.4       1,162.7            39         539.3       1,197.4            39
South Sudan                                        (-)           (-)           225           (-)           (-)           225
Spain                                          1,507.1       2,915.1            22       1,551.8       3,002.3            22
Sri Lanka                                        211.8         486.6            61         222.4         509.4            61
St Helena                                          1.3           1.3           174           1.3           1.3           174
St Kitts and Nevis                                 4.7           9.3           136           4.8           9.7           137
St Lucia                                           3.9           4.7           147           4.0           4.9           147
St Pierre and Miquelon                             (-)           (-)           227           (-)           (-)           227
St Vincent and the Grenadines                      0.2           0.5           194           0.2           0.5           194
Sudan                                              2.2           3.8           151           2.4           4.0           151
Suriname                                           3.8           8.8         139.0           4.2           9.5           138
Svalbard, Jan Mayen Island                         (-)           0.2         208.0           (-)           0.2           208
Swaziland                                          0.6           0.8         182.0           0.6           0.8           183
Sweden                                           882.5       1,738.2            31         976.8       1,874.1            30
Switzerland                                    2,884.5       6,127.7            14       2,907.3       6,171.5            15
Syria                                              0.4           1.1           177           0.4           1.1           177

Taiwan                                         3,215.8       6,990.8            13       3,326.4       7,229.9            13
Tajikistan                                         0.1           0.2           207           0.1           0.2           207
Tanzania                                           8.1          16.6           122           8.4          17.0           123
Thailand                                       2,227.2       4,870.5            16       2,303.9       5,044.1            16
Timor-Leste                                        0.2           0.7           185           0.2           0.7           185
Togo                                               0.8           1.4           171           0.9           1.5           171
Tokelau                                            (-)           0.4           200           (-)           0.4           200
Tonga                                              0.1           0.4           201           0.2           0.5           195
Trinidad and Tobago                              272.3         605.1            56         284.6         633.7            56
Tunisia                                           82.2         129.0            82          85.0         133.0            81
Turkey                                           686.2       1,540.7            33         720.5       1,620.0            33
Turkmenistan                                       0.7           1.0           178           0.7           1.1           178
Turks and Caicos Islands                           0.5           1.3           176           0.5           1.3           175
Tuvalu                                             (-)           (-)           224           (-)           (-)           224

Uganda                                             6.9          13.2           127           7.1          13.6           127
Ukraine                                          106.6         200.7            74         111.5         216.4            73
United Arab Emirates                             359.0         648.9            54         379.4         683.0            54
United Kingdom                                 4,956.5       9,505.5             7       5,037.9       9,662.1             7
Uruguay                                           27.4          63.9            95          28.5          66.6            95
Uzbekistan                                         1.3           2.4           160           1.4           2.6           160

Vanuatu                                            1.1           1.5           169           1.2           1.6           168
Vatican City                                       (-)           0.3           204           (-)           0.3           204
Venezuela                                        743.4       1,644.1            32         762.5       1,687.4            32
Vietnam                                        3,487.7       7,482.4            11       3,636.1       7,805.5            11

Wallis and Futuna                                  (-)           (-)           230           (-)           (-)           230
West Bank Administered by Israel                   1.0           1.5           170           1.0           1.5           170
Western Sahara                                     (-)           (-)           222           (-)           (-)           222

Yemen                                              0.2           0.2           206           0.2           0.2           206

Zambia                                             3.9           9.2           138           4.0           9.3           139
Zimbabwe                                           0.7           3.4           154           0.8           3.7           153

Unidentified (1)                                   (-)           (-)           (X)           (-)           (-)           (X)

Timing adjustment                                  (-)         114.4           (X)           (-)         114.3           (X)

Africa                                         2,580.1       5,865.8           (X)       2,659.9       6,054.9           (X)
APEC                                         125,914.0     264,199.7           (X)     129,473.7     271,804.0           (X)
ASEAN                                         13,557.7      28,108.4           (X)      13,968.3      28,995.5           (X)
Asia - South                                   4,952.8      10,536.4           (X)       5,150.5      10,952.2           (X)
Asia Near East                                 5,014.9      10,567.9           (X)       5,143.3      10,838.8           (X)
CAFTA-DR                                       2,017.8       3,769.7           (X)       2,118.6       3,962.8           (X)
Central American Common Market                 1,616.1       3,053.8           (X)       1,706.1       3,226.8           (X)
Euro Area                                     28,853.6      57,929.1           (X)      29,453.5      59,127.1           (X)
Europe                                        42,612.8      86,097.4           (X)      43,591.4      88,036.1           (X)
European Union                                37,021.4      73,898.6           (X)      37,859.1      75,512.8           (X)
LAFTA                                         32,948.8      67,115.6           (X)      33,525.8      68,316.0           (X)
NATO Allies                                   55,157.3     112,717.8           (X)      56,455.3     115,468.1           (X)
North America                                 50,207.6     102,417.7           (X)      51,025.0     104,201.2           (X)
OECD                                         110,169.7     224,397.0           (X)     112,426.8     229,029.8           (X)
OPEC                                           5,512.9      11,991.8           (X)       5,682.5      12,367.0           (X)
Pacific Rim Countries                         66,959.6     142,766.6           (X)      69,306.1     147,722.8           (X)
South/Central America                          9,210.5      19,722.1           (X)       9,647.9      20,634.6           (X)
Twenty Latin American Republics               35,071.7      71,077.0           (X)      35,752.0      72,475.3           (X)

* Countries denoted by asterisks represent countries with Free Trade Agreements with the United States.
** Countries denoted by double asterisks represent countries included within Free Trade Agreements with the United States.

Africa - Algeria, Angola, Benin, Botswana, British Indian Ocean Territories, Burkina Faso, Burundi, Cameroon, Cabo Verde, Central African Republic, Chad, Comoros,
Guinea, Guinea-Bissau, Kenya, Lesotho, Liberia, Libya, Madagascar, Malawi, Mali, Mauritania, Mauritius, Mayotte, Morocco, Mozambique, Namibia, Niger,
Nigeria, Reunion, Rwanda, Sao Tome and Principe, Senegal, Seychelles, Sierra Leone, Somalia, South Africa, South Sudan, St. Helena, Sudan, Swaziland, Tanzania, Togo,
Tunisia, Uganda, Western Sahara, Zambia, Zimbabwe.

APEC (Asia - Pacific Economic Cooperation) - Australia, Brunei, Canada, Chile, China, Hong Kong, Indonesia, Japan, Korea (South), Malaysia, Mexico, New Zealand, Papua New
Guinea, Peru, Philippines, Russia, Singapore, Taiwan, Thailand, Vietnam.

ASEAN (Association of Southeast Asian Nations) - Brunei, Burma, Cambodia, Indonesia,  Laos, Malaysia,  Philippines, Singapore, Thailand, Vietnam.

Asia - South - Afghanistan, Bangladesh, India, Nepal, Pakistan, Sri Lanka.

Asia Near East - Bahrain, Gaza Strip Administered by Israel, Iran, Iraq, Israel, Jordan, Kuwait, Lebanon, Oman, Qatar, Saudi Arabia, Syria,

United Arab Emirates, West Bank Administered by Israel, Yemen.

CAFTA-DR (Dominican Republic-Central America-United States Free Trade Agreement) - Costa Rica, Dominican Republic, El Salvador, Guatemala, Honduras, Nicaragua.

Central American Common Market - Costa Rica, El Salvador, Guatemala, Honduras, Nicaragua.

Euro Area - Austria, Belgium, Cyprus,  Estonia, Finland, France, Germany, Greece, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Portugal, Slovakia, Slovenia, Spain.

Europe - Albania, Andorra, Armenia, Austria, Azerbaijan, Belarus, Belgium, Bosnia-Herzegovina, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Faroe Islands,
Finland, France, Georgia, Germany, Gibraltar, Greece, Hungary, Iceland, Ireland, Italy, Kazakhstan, Kosovo, Kyrgyzstan, Latvia, Liechtenstein, Lithuania,
Luxembourg, Macedonia, Malta, Moldova, Monaco, Montenegro, Netherlands, Norway, Poland, Portugal, Romania, Russia, San Marino, Serbia, Slovakia, Slovenia, Spain,
Svalbard, Jan Mayen Island, Sweden, Switzerland, Tajikistan, Turkey, Turkmenistan, Ukraine, United Kingdom, Uzbekistan, Vatican City.

European Union - Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia,
Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, United Kingdom.

LAFTA (Latin American Free Trade Area) - Argentina, Bolivia, Brazil, Chile, Colombia, Ecuador, Mexico, Paraguay, Peru, Uruguay, Venezuela.

NATO (North Atlantic Treaty Organization) Allies - Belgium, Bulgaria, Canada, Czech Republic, Denmark, Estonia, France, Germany, Greece, Hungary, Iceland,
Italy, Latvia, Lithuania, Luxembourg, Netherlands, Norway, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Turkey, United Kingdom.

North America - Canada, Mexico.

OECD (Organization for Economic Cooperation and Development) - Australia, Austria, Belgium, Canada, Chile, Czech Republic, Denmark, Estonia, Finland, France, Germany,
Greece, Hungary, Iceland, Ireland, Israel, Italy, Japan, Korea (South), Luxembourg, Mexico, Netherlands, New Zealand, Norway, Poland, Portugal, Slovakia, Slovenia, Spain,
Sweden, Switzerland, Turkey, United Kingdom.

OPEC (Organization of the Petroleum Exporting Countries) - Algeria, Angola, Ecuador, Equatorial Guinea, Gabon, Iran, Iraq, Kuwait, Libya, Nigeria, Qatar, Saudi Arabia,
United Arab Emirates, Venezuela.

Pacific Rim Countries - Australia, Brunei, China, Hong Kong, Indonesia, Japan, Korea (South), Macau, Malaysia, New Zealand, Papua New Guinea, Philippines,
Singapore, Taiwan.

South/Central America - Anguilla, Antigua and Barbuda, Argentina, Aruba, Bahamas, Barbados, Belize, Bermuda, Bolivia, Brazil, British Virgin Islands,
Cayman Islands, Chile, Colombia, Costa Rica, Cuba, Curacao, Dominica, Dominican Republic, Ecuador, El Salvador, Falkland Islands (Islas Malvinas), French Guiana, Grenada,
Guadeloupe, Guatemala, Guyana, Haiti, Honduras, Jamaica, Martinique, Montserrat, Nicaragua, Panama, Paraguay, Peru, St. Kitts
and Nevis, Sint Maarten, St. Lucia, St. Vincent and the Grenadines, Suriname, Trinidad and Tobago, Turks and Caicos Islands, Uruguay, Venezuela.

Twenty Latin American Republics - Argentina, Bolivia, Brazil, Chile, Colombia, Costa Rica, Cuba, Dominican Republic, Ecuador,  El Salvador, Guatemala,
Haiti, Honduras, Mexico, Nicaragua, Panama, Paraguay, Peru, Uruguay, Venezuela.

(1) The export totals reflect shipments of certain grains, oilseeds, and satellites that are not included in the country/area totals.
                                       0
NOTE: Area data reflect the composition of the areas as of the most recent statistical period.

SOURCE: Report FT900 (CB 18-52, BEA 18-17), Bureau of the Census, Economic
Indicators Division, February 2018.  For more information, contact Matthew Przybocki
(301-763-3148) or Mala Kline (301-763-2311), Economic Indicators Division.
